"Population by age, type of locality, religious affiliation, and sex",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Age/Type of locality, All religions ,,,, No religion ,,,, Christian ,,, Islam ,,,, Traditional ,,,, Other ,,,,Age/Type of locality
, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female , Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,,
Rural,"411,620","199,044","212,576",,"36,265","24,230","12,035",,"265,401","117,367","148,034","57,184","30,645","26,539",,"49,180","25,141","24,039",,"3,590","1,661","1,929",,Rural
   55 - 59  ,,,,,,,,,,,,,,,,,,,,,,,,   55 - 59  
All localities,"523,695","258,582","265,113",,"33,957","23,989","9,968",,"382,997","176,513","206,484","68,260","37,754","30,506",,"33,647","17,871","15,776",,"4,834","2,455","2,379",,All localities
Urban,"275,958","132,984","142,974",,"13,050","9,458","3,592",,"217,141","98,892","118,249","38,485","20,859","17,626",,"4,612","2,371","2,241",,"2,670","1,404","1,266",,Urban
Rural,"247,737","125,598","122,139",,"20,907","14,531","6,376",,"165,856","77,621","88,235","29,775","16,895","12,880",,"29,035","15,500","13,535",,"2,164","1,051","1,113",,Rural
   60 - 64  ,,,,,,,,,,,,,,,,,,,,,,,,   60 - 64  
All localities,"475,849","227,050","248,799",,"33,540","21,772","11,768",,"319,997","143,543","176,454","75,838","38,582","37,256",,"42,504","21,192","21,312",,"3,970","1,961","2,009",,All localities
Urban,"225,385","105,738","119,647",,"11,562","7,735","3,827",,"167,818","74,768","93,050","38,702","19,654","19,048",,"5,220","2,491","2,729",,"2,083","1,090",993,,Urban
Rural,"250,464","121,312","129,152",,"21,978","14,037","7,941",,"152,179","68,775","83,404","37,136","18,928","18,208",,"37,284","18,701","18,583",,"1,887",871,"1,016",,Rural
   65 - 69  ,,,,,,,,,,,,,,,,,,,,,,,,   65 - 69  
All localities,"293,871","136,244","157,627",,"20,195","12,620","7,575",,"199,815","86,235","113,580","45,016","23,151","21,865",,"26,337","13,052","13,285",,"2,508","1,186","1,322",,All localities
Urban,"143,114","64,588","78,526",,"7,477","4,704","2,773",,"106,310","45,069","61,241","24,505","12,509","11,996",,"3,539","1,669","1,870",,"1,283",637,646,,Urban
Rural,"150,757","71,656","79,101",,"12,718","7,916","4,802",,"93,505","41,166","52,339","20,511","10,642","9,869",,"22,798","11,383","11,415",,"1,225",549,676,,Rural
"Population by age, type of locality, religious affiliation, and sex (Cont'd)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
